Sediment,Nom_Cu,Treat,TOT_Cu,SEMAVSfOC,SEMAVSfOC2,Count,RGR
Dow,0,F,1.5,-62,1,10,0.099
Dow,0,F,1.5,-62,1,9,0.1
Dow,0,F,1.5,-62,1,10,0.104
Dow,0,F,1.5,-62,1,10,0.102
Dow,0,F,1.5,-62,1,9,0.097
Dow,0,S,1,-80,1,10,0.096
Dow,0,S,1,-80,1,10,0.098
Dow,0,S,1,-80,1,9,0.103
Dow,0,S,1,-80,1,10,0.088
Dow,0,S,1,-80,1,10,0.093
Dow,60,F,48.5,30,30,9,0.091
Dow,60,F,48.5,30,30,10,0.103
Dow,60,F,48.5,30,30,8,0.1
Dow,60,F,48.5,30,30,10,0.099
Dow,60,F,48.5,30,30,10,0.103
Dow,60,S,55.5,73,73,10,0.085
Dow,60,S,55.5,73,73,10,0.077
Dow,60,S,55.5,73,73,10,0.086
Dow,60,S,55.5,73,73,10,0.08
Dow,60,S,55.5,73,73,10,0.074
Dow,140,F,129,112,112,10,0.072
Dow,140,F,129,112,112,10,0.081
Dow,140,F,129,112,112,10,0.072
Dow,140,F,129,112,112,10,0.104
Dow,140,F,129,112,112,10,0.082
Dow,140,S,145,196,196,8,0.066
Dow,140,S,145,196,196,10,0.054
Dow,140,S,145,196,196,10,0.064
Dow,140,S,145,196,196,10,0.056
Dow,140,S,145,196,196,9,0.061
Dow,340,F,285,381,381,9,0.036
Dow,340,F,285,381,381,6,0.05
Dow,340,F,285,381,381,6,0.051
Dow,340,F,285,381,381,10,0.039
Dow,340,F,285,381,381,4,0.017
Dow,340,S,325,454,454,7,0.051
Dow,340,S,325,454,454,8,0.034
Dow,340,S,325,454,454,6,0.046
Dow,340,S,325,454,454,9,0.049
Dow,340,S,325,454,454,9,0.037
Dow,800,F,738,997,997,6,0.022
Dow,800,F,738,997,997,1,0.029
Dow,800,F,738,997,997,1,0.041
Dow,800,F,738,997,997,1,0.029
Dow,800,F,738,997,997,0,NA
Dow,800,S,783,1466,1466,0,NA
Dow,800,S,783,1466,1466,0,NA
Dow,800,S,783,1466,1466,0,NA
Dow,800,S,783,1466,1466,0,NA
Dow,800,S,783,1466,1466,0,NA
Ocoee,0,F,24.5,-58,1.2,10,0.107
Ocoee,0,F,24.5,-58,1.2,10,0.1
Ocoee,0,F,24.5,-58,1.2,10,0.096
Ocoee,0,F,24.5,-58,1.2,10,0.1
Ocoee,0,F,24.5,-58,1.2,9,0.093
Ocoee,0,S,24,-37,1.2,10,0.097
Ocoee,0,S,24,-37,1.2,9,0.094
Ocoee,0,S,24,-37,1.2,10,0.097
Ocoee,0,S,24,-37,1.2,10,0.1
Ocoee,0,S,24,-37,1.2,9,0.086
Ocoee,160,F,220,-19,1.2,10,0.088
Ocoee,160,F,220,-19,1.2,10,0.097
Ocoee,160,F,220,-19,1.2,10,0.094
Ocoee,160,F,220,-19,1.2,10,0.096
Ocoee,160,F,220,-19,1.2,8,0.103
Ocoee,160,S,272,2,2,10,0.091
Ocoee,160,S,272,2,2,10,0.1
Ocoee,160,S,272,2,2,9,0.091
Ocoee,160,S,272,2,2,10,0.099
Ocoee,160,S,272,2,2,9,0.087
Ocoee,380,F,555,39,39,9,0.082
Ocoee,380,F,555,39,39,10,0.063
Ocoee,380,F,555,39,39,8,0.064
Ocoee,380,F,555,39,39,8,0.071
Ocoee,380,F,555,39,39,9,0.077
Ocoee,380,S,667,96,96,9,0.051
Ocoee,380,S,667,96,96,9,0.05
Ocoee,380,S,667,96,96,10,0.061
Ocoee,380,S,667,96,96,9,0.064
Ocoee,380,S,667,96,96,9,0.053
Ocoee,900,F,1030,133,133,9,0.041
Ocoee,900,F,1030,133,133,7,0.032
Ocoee,900,F,1030,133,133,6,0.053
Ocoee,900,F,1030,133,133,9,0.069
Ocoee,900,F,1030,133,133,9,0.045
Ocoee,900,S,1250,157,157,10,0.036
Ocoee,900,S,1250,157,157,9,0.047
Ocoee,900,S,1250,157,157,9,0.046
Ocoee,900,S,1250,157,157,9,0.048
Ocoee,900,S,1250,157,157,10,0.047
Ocoee,2100,F,2260,262,262,9,0.031
Ocoee,2100,F,2260,262,262,2,0.034
Ocoee,2100,F,2260,262,262,3,0.031
Ocoee,2100,F,2260,262,262,5,0.012
Ocoee,2100,F,2260,262,262,5,0.034
Ocoee,2100,S,2430,357,357,0,NA
Ocoee,2100,S,2430,357,357,0,NA
Ocoee,2100,S,2430,357,357,0,NA
Ocoee,2100,S,2430,357,357,0,NA
Ocoee,2100,S,2430,357,357,0,NA
