Sediment,Nom_Cu,Treat,Day,Depth,Sed_pH,LOI,AVS,Mean_TOT_Cu,TOT_Cu,TOT_Fe,TOT_Mn,SEM_Cu,ASC_Cu,ASC_Fe,DITH_Cu,DITH_Fe,DITH_Mn,dw_corr,Pore_Cu
Dow,0,F,10,deep,7.03,1.78,0.34,1.5,2,5.1,97,2.69,0.04,888,0.36,2345,53,0.81,NA
Dow,60,F,10,deep,7.01,1.74,0.16,48.5,48,6.3,141,16.7,0.15,862,1.35,2288,58,0.81,3.5
Dow,140,F,10,deep,7.1,1.8,0.15,129,134,5.6,113,55.8,0.42,685,2.08,2464,57,0.81,24.8
Dow,340,F,10,deep,7.08,1.62,0.01,285,300,5.3,111,132,2.71,839,5.35,2459,61,0.81,29.1
Dow,800,F,10,deep,7.15,1.71,0.001,738,696,5.2,105,368,4.4,759,21.4,2327,56,0.81,23.3
Dow,0,F,38,deep,6.93,1.99,0.93,1.5,1,5,112,1.34,0.09,926,0.81,2444,55,0.81,0.9
Dow,60,F,38,deep,6.95,1.69,0.33,48.5,49,5,98,25.3,0.09,862,4.47,2455,51,0.81,19.8
Dow,140,F,38,deep,7.23,1.77,0.083,129,123,6,101,37.4,0.2,739,4.03,2514,55,0.81,1.6
Dow,340,F,38,deep,7.35,1.67,0.088,285,270,5,100,169,0.69,712,4.4,2198,52,0.81,3
Dow,800,F,38,deep,7.37,1.86,0.001,738,780,6,112,359,3.48,743,38.74,2468,55,0.81,5.1
Dow,0,S,10,deep,7.15,1.62,0.75,1,1,7.7,134,1.85,0.06,817,0.38,2210,62,0.78,0.6
Dow,60,S,10,deep,7.02,1.52,0.16,55.5,63,4.8,97,38.9,0.47,628,6.86,2189,53,0.78,3.8
Dow,140,S,10,deep,6.83,1.55,0.034,145,144,5.5,109,83.2,2.48,847,12.05,2221,54,0.78,13.4
Dow,340,S,10,deep,6.48,1.57,0.018,325,325,5.1,98,175,4.67,924,22.71,2147,48,0.78,400.3
Dow,800,S,10,deep,5.87,1.62,0.003,783,730,4.9,95,560,4.91,829,31.15,2094,44,0.78,8777.2
Dow,0,S,38,deep,7.21,1.65,0.17,1,1,4,88,2.2,0.04,693,0.84,2288,53,0.78,1.2
Dow,60,S,38,deep,7.2,1.58,0.39,55.5,48,4,88,36.4,0.34,643,5.71,2047,50,0.78,3.2
Dow,140,S,38,deep,7.07,1.46,0.15,145,146,5,94,83.9,0.93,696,13.56,2216,50,0.78,5.7
Dow,340,S,38,deep,7.16,1.65,0.091,325,325,5,102,177,4.23,674,18.8,2224,47,0.78,35.3
Dow,800,S,38,deep,6.5,1.73,0.001,783,836,5,82,536,4.33,761,23.98,2318,39,0.78,383
Dow,0,F,10,surface,7.03,1.58,0.33,1.5,3,4.4,72,0.56,0.03,836,0.88,2307,54,0.78,
Dow,60,F,10,surface,6.84,1.66,0.16,48.5,46,5.1,87,23.7,0.37,836,4.78,2596,56,0.78,
Dow,140,F,10,surface,6.94,1.67,0.07,129,67,5.0,77,54.7,0.6,859,7.2,2357,52,0.78,
Dow,340,F,10,surface,7,1.67,0.016,285,170,5.2,85,147,2.54,845,7.82,2331,54,0.78,
Dow,800,F,10,surface,7.08,1.74,0.002,738,447,5.2,85,398,5.7,848,44.84,2328,52,0.78,
Dow,0,F,38,surface,7,1.65,0.39,1.5,6,7.2,144,0.44,0.04,585,0.67,2226,46,0.78,
Dow,60,F,38,surface,7.11,1.61,0.2,48.5,38,6.1,116,23.3,0.14,1137,2.96,2202,47,0.78,
Dow,140,F,38,surface,7.27,1.44,0.046,129,109,6.8,121,42.3,0.25,673,2.72,2279,47,0.78,
Dow,340,F,38,surface,7.23,1.55,0.008,285,237,NA,139,144,0.44,777,3.74,2034,46,0.78,
Dow,800,F,38,surface,7.31,1.62,0.009,738,534,6.1,115,405,2.59,827,17.97,2081,46,0.78,
Dow,0,S,10,surface,7.09,2.08,0.37,1,3,4.9,88,1.73,0.08,705,0.37,2123,52,0.78,
Dow,60,S,10,surface,6.97,1.56,0.11,55.5,47,5.6,103,46.5,1.17,915,4.37,NA,NA,0.78,
Dow,140,S,10,surface,6.88,1.9,0.067,145,114,5.7,99,72.8,2.52,779,8.33,2075,48,0.78,
Dow,340,S,10,surface,6.61,1.76,0.012,325,265,5.2,92,171,3.7,762,12.54,2224,49,0.78,
Dow,800,S,10,surface,6.09,1.48,0.001,783,436,4.1,56,492,4.02,726,21.5,2085,40,0.78,
Dow,0,S,38,surface,7.21,1.58,1.28,1,3,6.1,110,1.77,0.04,787,0.67,2353,58,0.78,
Dow,60,S,38,surface,6.9,1.38,0.15,55.5,40,5.5,95,29,0.3,778,9.44,2401,62,0.78,
Dow,140,S,38,surface,6.89,1.67,0.42,145,104,6.3,112,88,0.6,972,9.74,1944,40,0.78,
Dow,340,S,38,surface,6.89,1.63,0.028,325,246,5.6,103,169,6.29,672,12.49,1775,36,0.78,
Dow,800,S,38,surface,7.34,1.63,0.18,783,535,4.7,67,631,4.41,797,27.66,2220,44,0.78,
Ocoee,0,F,10,deep,6.84,7.17,4.34,24.5,26,36,496,2.55,0.05,1743,0.54,10698,195,0.67,1
Ocoee,160,F,10,deep,6.87,7.12,2.39,220,162,41,477,15,0.12,1711,1.17,10599,165,0.67,1.4
Ocoee,380,F,10,deep,6.87,7.45,0.34,555,506,38,516,100,0.14,1552,3.1,12450,205,0.67,3.3
Ocoee,900,F,10,deep,6.87,7.94,0.051,1030,929,35,492,209,0.48,1969,9.57,13501,215,0.67,4.4
Ocoee,2100,F,10,deep,7,7.25,0.008,2260,1934,36,463,308,1.6,1759,30.31,15050,182,0.67,25
Ocoee,0,F,38,deep,7.51,8.1,2.89,24.5,23,34,451,4.16,0.03,1299,0.49,10707,147,0.67,1.6
Ocoee,160,F,38,deep,7.46,10.16,1.18,220,278,29,527,13.5,0.09,1428,1.95,10185,171,0.67,2.3
Ocoee,380,F,38,deep,7.52,9.08,0.62,555,604,33,504,85.2,0.29,1894,4.87,11417,168,0.67,5.5
Ocoee,900,F,38,deep,7.61,9.54,0.38,1030,1128,33,472,267,0.38,1769,6.56,12917,174,0.67,13.7
Ocoee,2100,F,38,deep,7.63,9.61,0.01,2260,2591,37,533,642,1.37,1787,15.46,10835,196,0.67,6.6
Ocoee,0,S,10,deep,6.75,8.09,3.01,24,24,34,495,3.24,0.05,1759,0.62,11133,179,0.67,0.7
Ocoee,160,S,10,deep,6.61,8.72,0.85,272,241,41,528,41.8,0.16,1498,3.1,11447,150,0.67,1.9
Ocoee,380,S,10,deep,6.45,8.44,0.47,667,517,35,521,352,0.32,1699,4.6,12190,146,0.67,1.6
Ocoee,900,S,10,deep,6.01,8.09,0.17,1250,1233,35,499,318,1.33,1716,12.81,12306,179,0.67,19
Ocoee,2100,S,10,deep,5.33,7.9,0.001,2430,2240,37,416,430,2.44,1489,22.12,11915,148,0.67,NA
Ocoee,0,S,38,deep,7.17,NA,1.15,24,24,NA,NA,2.33,0.06,1766,1.17,11604,190,0.67,1.4
Ocoee,160,S,38,deep,7.06,8.59,1.08,272,303,32,578,61.7,0.11,1468,5.69,12240,179,0.67,1.4
Ocoee,380,S,38,deep,7.28,10.3,0.33,667,816,29,559,165,0.6,1574,9.51,13546,163,0.67,1.8
Ocoee,900,S,38,deep,7.31,9.54,0.12,1250,1264,34,506,295,0.52,1405,10.66,18095,177,0.67,11.9
Ocoee,2100,S,38,deep,6.72,9.45,0.03,2430,2616,33,458,746,3.04,1434,29.43,11966,151,0.67,329
Ocoee,0,F,10,surface,6.69,7.77,2.71,24.5,21,41,434,4.81,0.05,1765,0.61,15789,197,0.64,
Ocoee,160,F,10,surface,6.61,7.04,0.26,220,151,43,460,7.61,0.1,1519,1.64,10509,173,0.64,
Ocoee,380,F,10,surface,6.73,6.86,0.42,555,325,36,430,95.9,0.41,1809,2.81,12470,192,0.64,
