Sediment,Nom_Cu,Treat,Day,Mean_TOT_Cu,Dis_Cu,Cu_flux,
Dow,0,F,1,1.5,2.47,0.35,
Dow,0,F,4,1.5,2.97,0.1,
Dow,0,F,24,1.5,3.3,0.02,
Dow,0,F,72,1.5,3.62,0.01,
Dow,0,S,1,1,1.97,0.28,
Dow,0,S,4,1,2.29,0.08,
Dow,0,S,24,1,2.42,0.01,
Dow,0,S,72,1,4.17,0.01,
Dow,60,F,1,48.5,2.69,0.38,
Dow,60,F,4,48.5,3.25,0.11,
Dow,60,F,24,48.5,4.35,0.03,
Dow,60,F,72,48.5,4.62,0.01, 
Dow,60,S,1,55.5,5.4,0.76,
Dow,60,S,4,55.5,8.8,0.31,
Dow,60,S,24,55.5,8.29,0.05,
Dow,60,S,72,55.5,7.28,0.02,
Dow,140,F,1,129,3.14,0.44,
Dow,140,F,4,129,2.77,0.1,
Dow,140,F,24,129,3.81,0.02,
Dow,140,F,72,129,6.77,0.02,
Dow,140,S,1,145,9.85,1.38,
Dow,140,S,4,145,10.1,0.35,
Dow,140,S,24,145,15.37,0.09,
Dow,140,S,72,145,11.97,0.03,
Dow,340,F,1,285,3.04,0.43,
Dow,340,F,4,285,5.3,0.19,
Dow,340,F,24,285,9.62,0.06,
Dow,340,F,72,285,10.06,0.03,
Dow,340,S,1,325,24.59,3.44,
Dow,340,S,4,325,29.04,1.02,
Dow,340,S,24,325,33.16,0.19,
Dow,340,S,72,325,33.67,0.1,
Dow,800,F,1,738,6.09,0.85,
Dow,800,F,4,738,21.29,0.75,
Dow,800,F,24,738,36.06,0.21,
Dow,800,F,72,738,46.92,0.14,
Dow,800,S,1,783,287.08,40.19,
Dow,800,S,4,783,178.45,6.25,
Dow,800,S,24,783,228.55,1.33,
Dow,800,S,72,783,326.26,0.95,
Ocoee,0,F,1,24.5,,,
Ocoee,0,F,4,24.5,1.46,0.05,
Ocoee,0,F,24,24.5,1.22,0.01,
Ocoee,0,F,72,24.5,1.83,0.01,
Ocoee,0,S,1,24,1.66,0.23,
Ocoee,0,S,4,24,1.54,0.05,
Ocoee,0,S,24,24,1.45,0.01,
Ocoee,0,S,72,24,1.78,0.01,
Ocoee,160,F,1,220,2.23,0.31,
Ocoee,160,F,4,220,1.83,0.06,
Ocoee,160,F,24,220,1.71,0.01,
Ocoee,160,F,72,220,2.84,0.01,
Ocoee,160,S,1,272,2.42,0.34,
Ocoee,160,S,4,272,3.21,0.11,
Ocoee,160,S,24,272,3.48,0.02,
Ocoee,160,S,72,272,4.67,0.01,
Ocoee,380,F,1,555,1.7,0.24,
Ocoee,380,F,4,555,1.66,0.06,
Ocoee,380,F,24,555,2.62,0.02,
Ocoee,380,F,72,555,3.59,0.01,
Ocoee,380,S,1,667,4.14,0.58,
Ocoee,380,S,4,667,3.34,0.12,
Ocoee,380,S,24,667,6.69,0.04,
Ocoee,380,S,72,667,7.41,0.02,
Ocoee,900,F,1,1030,3.33,0.47,
Ocoee,900,F,4,1030,3.29,0.12,
Ocoee,900,F,24,1030,5.88,0.03,
Ocoee,900,F,72,1030,7.61,0.02,
Ocoee,900,S,1,1250,6.34,0.89,
Ocoee,900,S,4,1250,7.04,0.25,
Ocoee,900,S,24,1250,5.22,0.03,
Ocoee,900,S,72,1250,13.95,0.04,
Ocoee,2100,F,1,2260,6.62,0.93,
Ocoee,2100,F,4,2260,9.85,0.34,
Ocoee,2100,F,24,2260,13.58,0.08,
Ocoee,2100,F,72,2260,16.8,0.05,
Ocoee,2100,S,1,2430,12.86,1.8,
Ocoee,2100,S,4,2430,20.43,0.72,
Ocoee,2100,S,24,2430,22.04,0.13,
Ocoee,2100,S,72,2430,126.18,0.37,
