Sediment,Nom_Ni,Treat,Day,Depth,Sed_pH,LOI,AVS,Mean_TOT_Ni,TOT_Ni,TOT_Fe,TOT_Mn,SEM_Ni,ASC_Ni,ASC_Fe,DITH_Ni,DITH_Fe,DITH_Mn,dw_corr,Pore_Ni
Burn,0,F,7,surface,7.34,10.94,,53,56.4,44.9,896,30,2,2094,15,8474,370,0.552,
Burn,100,F,7,surface,7.39,10.43,,130,141,45.7,940,60,21,1861,51,8142,336,0.552,
Burn,240,F,7,surface,7.42,11.41,,240,262,46.1,929,106,47,2084,97,7086,305,0.552,
Burn,550,F,7,surface,7.4,11.04,,490,545,44.9,917,208,107,1604,210,7657,318,0.552,
Burn,1300,F,7,surface,7.46,9.89,,1100,1180,NA,923,486,278,1630,489,7523,339,0.552,
Burn,0,F,7,deep,7.31,12.01,,53,55.9,46.5,975,25,2,1932,10,6627,330,0.552,2
Burn,100,F,7,deep,7.34,10.27,,130,138,43.9,927,66,21,1852,44,6666,313,0.552,14
Burn,240,F,7,deep,7.37,11.09,,240,246,44,930,104,47,1992,86,6817,316,0.552,26
Burn,550,F,7,deep,7.4,10.08,0.19,490,489,44.6,931,247,114,1913,205,7417,349,0.552,57
Burn,1300,F,7,deep,7.42,10.39,,1100,1050,45.2,932,581,258,1496,502,8299,380,0.552,263
Burn,0,F,35,surface,7.07,10.16,,53,51.9,43.5,941,19,2,1588,13,8162,351,0.552,
Burn,100,F,35,surface,7.08,10.09,0.05,130,120,43.5,967,58,18,1698,47,8093,342,0.552,
Burn,240,F,35,surface,7.15,9.74,,240,230,43.7,916,107,42,1715,97,7478,356,0.552,
Burn,550,F,35,surface,7.17,10.06,,490,465,46.1,953,221,103,1715,205,7727,339,0.552,
Burn,1300,F,35,surface,7.22,10.71,,1100,1020,45.1,920,499,290,1473,469,7282,316,0.552,
Burn,0,F,35,deep,7.01,10.62,0.25,53,49.3,43.5,964,30,2,1814,12,7872,364,0.552,4
Burn,100,F,35,deep,7.04,10.49,,130,122,45,904,61,20,1922,43,7463,330,0.552,25
Burn,240,F,35,deep,7.08,9.58,,240,227,45,906,117,43,1888,87,7755,337,0.552,47
Burn,550,F,35,deep,7.09,12.16,,490,456,46.6,921,214,97,1624,219,8478,354,0.552,105
Burn,1300,F,35,deep,7.12,10.8,,1100,1230,NA,944,550,288,1510,492,7659,350,0.552,377
Burn,0,S,7,surface,7.08,9.78,0.02,57,58.5,47.2,919,29,1,1767,11,7752,344,0.529,
Burn,100,S,7,surface,7.03,9.73,,150,150,47.2,943,63,26,1675,57,8175,352,0.529,
Burn,240,S,7,surface,6.99,9.9,,250,257,47.7,922,105,52,1612,101,7625,327,0.529,
Burn,550,S,7,surface,7.02,9.51,,550,537,47,931,229,145,1645,232,7680,324,0.529,
Burn,1300,S,7,surface,7,11.01,,1200,1230,47.5,934,549,347,1402,556,6954,323,0.529,
Burn,0,S,7,deep,7,10.87,,57,54.5,42.7,938,27,2,1758,11,7444,330,0.529,7
Burn,100,S,7,deep,7,10.35,,150,143,43.6,933,64,27,1715,52,7562,327,0.529,62
Burn,240,S,7,deep,6.97,10.52,,250,244,43.9,923,110,54,1613,98,7802,331,0.529,166
Burn,550,S,7,deep,6.93,10.42,0.01,550,548,44.2,962,242,146,1602,231,6788,320,0.529,509
Burn,1300,S,7,deep,6.85,11.23,,1200,1240,43.8,916,534,343,1482,537,6798,325,0.529,1470
Burn,0,S,35,surface,,9.53,,57,58.8,44.6,998,25,1,1700,9,6766,314,0.529,
Burn,100,S,35,surface,,9.7,,150,146,45.2,984,55,19,1780,44,8384,330,0.529,
Burn,240,S,35,surface,,9.35,,250,253,44.6,973,89,34,1589,87,8115,332,0.529,
Burn,550,S,35,surface,,9.47,,550,544,44.8,979,237,129,1490,235,8656,357,0.529,
Burn,1300,S,35,surface,,8.65,,1200,1230,45.9,939,472,317,1368,520,7636,314,0.529,
Burn,0,S,35,deep,,9.53,,57,56.9,44.4,919,22,2,1838,13,8095,327,0.529,5
Burn,100,S,35,deep,,11.44,,150,168,46,949,56,20,1585,47,8524,364,0.529,27
Burn,240,S,35,deep,,9.55,0.01,250,258,46.1,926,98,45,1475,94,8405,356,0.529,110
Burn,550,S,35,deep,,10.43,,550,564,46.4,940,233,141,1577,244,8298,352,0.529,59
Burn,1300,S,35,deep,,10.21,,1200,1200,46,923,481,326,1446,538,7575,325,0.529,718
Raisin,0,F,7,surface,7.45,15.31,2.72,8,7.7,16.1,731,13,1,2561,2,3717,288,0.391,
Raisin,200,F,7,surface,7.38,15.54,2.59,180,186,15.5,740,85,29,2248,39,3764,295,0.391,
Raisin,500,F,7,surface,7.39,14.76,1.35,450,384,11.2,672,139,98,2478,114,4143,309,0.391,
Raisin,1200,F,7,surface,7.41,16.82,1.55,1100,1030,13,743,318,272,2346,350,4234,332,0.391,
Raisin,2800,F,7,surface,7.35,17.1,1.15,2600,2320,12.7,719,667,767,2236,892,3750,292,0.391,
Raisin,0,F,7,deep,7.12,14.78,4.16,8,8.7,10.6,670,18,1,2553,1,3547,271,0.391,1
Raisin,200,F,7,deep,7.09,15.69,1.84,180,160,13.4,681,87,32,2564,36,3383,274,0.391,10
Raisin,500,F,7,deep,7.12,14.97,2.31,450,443,12.8,760,134,90,2621,86,3419,277,0.391,19
Raisin,1200,F,7,deep,7.12,17.38,2.61,1100,974,12,651,293,328,2549,273,3298,272,0.391,123
Raisin,2800,F,7,deep,7.12,16.6,1.75,2600,2460,10.5,798,747,822,2362,847,3573,291,0.391,1148
Raisin,0,F,35,surface,7.37,15.41,4.15,8,8.9,13,709,28,1,2375,1,3493,253,0.406,
Raisin,200,F,35,surface,7.29,15.11,3,180,188,10.8,762,72,32,2362,41,4007,297,0.406,
Raisin,500,F,35,surface,7.35,14.61,2.31,450,443,12,765,103,48,2523,61,3540,287,0.406,
Raisin,1200,F,35,surface,7.34,15.26,1.12,1100,1150,11.4,855,326,239,2312,229,3425,271,0.406,
Raisin,2800,F,35,surface,7.41,15.64,0.84,2600,2780,13.2,767,744,775,2146,823,3474,281,0.406,
Raisin,0,F,35,deep,7.15,14.77,4.84,8,7.7,9.4,624,14,1,2517,2,4109,318,0.406,2
Raisin,200,F,35,deep,7.17,15.89,2.03,180,206,11.4,774,87,31,2633,30,3604,290,0.406,5
Raisin,500,F,35,deep,7.19,15.54,2.37,450,510,11.6,862,109,51,2637,53,3805,295,0.406,3
Raisin,1200,F,35,deep,7.18,15.07,1.33,1100,1130,12.2,714,325,193,2277,202,3420,276,0.406,132
Raisin,2800,F,35,deep,7.15,17.95,0.87,2600,2950,11.8,718,749,780,2177,810,3562,305,0.406,1200
Raisin,0,S,7,surface,6.88,15.33,3.23,6,5.7,15,771,25,1,2458,2,3480,268,0.412,
Raisin,200,S,7,surface,7.1,15.13,1.69,200,230,14.2,717,82,30,2572,36,3653,284,0.412,
Raisin,500,S,7,surface,7.1,15.02,1.23,500,532,14.3,745,117,75,2581,66,3643,294,0.412,
Raisin,1200,S,7,surface,7.15,14.89,1.16,1100,1150,13.4,705,350,261,2484,257,3456,292,0.412,
Raisin,2800,S,7,surface,7.06,NA,0.8,2700,2990,14.8,803,554,808,2214,855,3545,294,0.412,
Raisin,0,S,7,deep,6.81,14.15,3.64,6,4.6,14.7,765,49,1,2522,2,4227,324,0.412,2
Raisin,200,S,7,deep,6.88,15.48,3.1,200,224,13.6,729,97,32,2734,34,NA,314,0.412,16
Raisin,500,S,7,deep,6.86,14.16,1.4,500,548,12.3,802,131,54,2405,65,3758,298,0.412,175
Raisin,1200,S,7,deep,6.85,14.95,0.76,1100,993,9.6,841,319,,2562,287,3818,317,0.412,1140
Raisin,2800,S,7,deep,6.78,14.56,0.81,2700,2600,11,702,579,798,2228,855,3653,307,0.412,7200
Raisin,0,S,35,surface,6.92,13.89,2.68,6,6.6,11.1,878,11,1,2366,2,3611,257,0.402,
Raisin,200,S,35,surface,6.85,15.12,2.28,200,185,13.2,822,83,25,2301,39,3816,289,0.402,
Raisin,500,S,35,surface,7.2,13.77,1.54,500,471,14.3,769,108,70,2416,80,3941,307,0.402,
Raisin,1200,S,35,surface,7.16,15.49,0.93,1100,999,11.8,857,263,273,2437,278,3548,278,0.402,
Raisin,2800,S,35,surface,7.27,15.01,1.15,2700,2600,12.4,872,477,749,2273,848,3790,290,0.402,
Raisin,0,S,35,deep,6.88,14.85,3.91,6,7.7,12.2,730,30,1,2257,2,3686,291,0.402,2
Raisin,200,S,35,deep,6.78,16.74,4.87,200,167,12.8,869,77,27,2386,36,3693,304,0.402,5
Raisin,500,S,35,deep,6.92,14.72,1.89,500,434,14.1,727,116,63,2616,NA,3746,302,0.402,8
Raisin,1200,S,35,deep,7,15.91,0.72,1100,1160,13.9,833,285,259,2486,270,3788,305,0.402,95
Raisin,2800,S,35,deep,7.03,15.8,0.91,2700,2780,13.6,733,539,800,2390,857,3905,305,0.402,1240
